-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,
-842150451,-842150451,-842150451,-842150451,-842150451,3,4,5,-842150451,-842150451,
-842150451,-842150451,-842150451,-842150451,3,3,3,4,-842150451,-842150451,
-842150451,-842150451,-842150451,-842150451,4,3,3,3,-842150451,-842150451,
-842150451,-842150451,-842150451,-842150451,5,4,3,4,-842150451,-842150451,
-842150451,-842150451,-842150451,-842150451,-842150451,5,5,5,-842150451,-842150451,
-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,
-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,
-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,
-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,-842150451,
